Title,Author,Type,Tags,Starred,Notes,Link
Are You Destined to Deal?,Jim Donovan,Video,Finance,Y,The definitive video on how to become (and what it takes to succeed as) a transaction adviser. Life changing.,https://www.youtube.com/watch?v=RpUJfW4WTKw
Solar Car Parks Are a Bad Way to Clean Up the Grid,David Fickling,Quote,Renewable Energy,N,"*Owners of farmland typically would like the freedom to harvest whatever commodity is most profitable-whether rice, wheat or solar electricity.*",https://www.bloomberg.com/opinion/articles/2026-06-04/solar-car-parks-are-a-bad-way-to-clean-up-the-grid
Babble and Prune,alkjash,Article,Learning,Y,"How do thoughts produce actionable insights? Implications for language, [creativity](https://theoatmeal.com/comics/making_things), and artificial intelligence.",https://www.lesswrong.com/s/pC6DYFLPMTCbEwH8W/p/i42Dfoh4HtsCAfXxL
Burnt,Bradley Cooper,Movie,Cooking,N,"If you're good enough, persistent, and incredibly lucky, you might get a second shot. Don't mess it up.",
Kitchen Confidential,Anthony Bourdain,Book,Cooking,Y,"Inside look at the restaurant industry. Must-read for any professional in client services, especially the chapter titled Bigfoot.",
The Bear,Jeremy Allen White,TV Series,Cooking,Y,"Dealing with grief in stressful situations. Could have ended after Season 1. Shoutout to [Forks](https://en.wikipedia.org/wiki/Forks_%28The_Bear%29) though.",
